Journey_ID,Journey_Date,Departure_Time,Arrival_Time,Actual_Arrival_Time,Reason_for_Delay,Duration_Time,Delay_Period,journey_key
28,2024-01-01,15:00:00,16:00:00,16:00:00,No Delay,60.0,0.0,2024-01-01_15:00:00
29,2024-01-01,16:30:00,17:50:00,17:50:00,No Delay,80.0,0.0,2024-01-01_16:30:00
30,2024-01-01,17:00:00,18:50:00,18:50:00,No Delay,110.0,0.0,2024-01-01_17:00:00
31,2024-01-01,17:45:00,19:05:00,19:05:00,No Delay,80.0,0.0,2024-01-01_17:45:00
32,2024-01-01,18:15:00,19:15:00,19:15:00,No Delay,60.0,0.0,2024-01-01_18:15:00
33,2024-01-01,17:45:00,19:35:00,19:35:00,No Delay,110.0,0.0,2024-01-01_17:45:00
34,2024-01-01,18:45:00,19:05:00,19:05:00,No Delay,20.0,0.0,2024-01-01_18:45:00
35,2024-01-01,23:30:00,00:50:00,00:50:00,No Delay,-1360.0,0.0,2024-01-01_23:30:00
36,2024-01-01,02:45:00,03:15:00,03:15:00,No Delay,30.0,0.0,2024-01-01_02:45:00
37,2024-01-01,04:30:00,05:50:00,05:50:00,No Delay,80.0,0.0,2024-01-01_04:30:00
38,2024-01-01,04:30:00,05:50:00,05:50:00,No Delay,80.0,0.0,2024-01-01_04:30:00
39,2024-01-01,05:00:00,05:30:00,05:30:00,No Delay,30.0,0.0,2024-01-01_05:00:00
40,2024-01-02,02:15:00,03:35:00,03:35:00,Technical Issue,80.0,0.0,2024-01-02_02:15:00
41,2024-01-01,05:30:00,06:00:00,06:00:00,No Delay,30.0,0.0,2024-01-01_05:30:00
42,2024-01-01,06:00:00,06:30:00,06:30:00,No Delay,30.0,0.0,2024-01-01_06:00:00
43,2024-01-01,06:15:00,08:05:00,08:05:00,No Delay,110.0,0.0,2024-01-01_06:15:00
44,2024-01-01,06:30:00,08:20:00,08:20:00,No Delay,110.0,0.0,2024-01-01_06:30:00
45,2024-01-01,06:30:00,07:50:00,07:50:00,No Delay,80.0,0.0,2024-01-01_06:30:00
46,2024-01-02,03:30:00,05:20:00,05:31:00,Weather Conditions,110.0,11.0,2024-01-02_03:30:00
47,2024-01-01,06:30:00,07:50:00,07:50:00,No Delay,80.0,0.0,2024-01-01_06:30:00
48,2024-01-01,06:45:00,08:35:00,08:35:00,No Delay,110.0,0.0,2024-01-01_06:45:00
49,2024-01-01,07:30:00,09:20:00,09:20:00,No Delay,110.0,0.0,2024-01-01_07:30:00
50,2024-01-01,07:30:00,09:00:00,09:00:00,No Delay,90.0,0.0,2024-01-01_07:30:00
51,2024-01-01,07:45:00,09:35:00,09:35:00,No Delay,110.0,0.0,2024-01-01_07:45:00
52,2024-01-01,08:00:00,10:15:00,10:39:00,Weather,135.0,24.0,2024-01-01_08:00:00
53,2024-01-01,08:00:00,09:20:00,09:20:00,No Delay,80.0,0.0,2024-01-01_08:00:00
54,2024-01-01,08:15:00,09:00:00,09:00:00,No Delay,45.0,0.0,2024-01-01_08:15:00
55,2024-01-01,08:45:00,09:45:00,09:45:00,No Delay,60.0,0.0,2024-01-01_08:45:00
56,2024-01-01,07:45:00,08:45:00,08:45:00,No Delay,60.0,0.0,2024-01-01_07:45:00
57,2024-01-01,09:15:00,09:45:00,09:45:00,No Delay,30.0,0.0,2024-01-01_09:15:00
58,2024-01-02,06:30:00,07:50:00,07:50:00,No Delay,80.0,0.0,2024-01-02_06:30:00
59,2024-01-02,06:30:00,08:00:00,08:00:00,No Delay,90.0,0.0,2024-01-02_06:30:00
60,2024-01-02,07:45:00,08:15:00,08:15:00,No Delay,30.0,0.0,2024-01-02_07:45:00
61,2024-01-01,09:45:00,11:05:00,11:05:00,No Delay,80.0,0.0,2024-01-01_09:45:00
62,2024-01-02,08:00:00,09:50:00,10:08:00,Weather,110.0,18.0,2024-01-02_08:00:00
63,2024-01-01,11:45:00,13:35:00,13:35:00,No Delay,110.0,0.0,2024-01-01_11:45:00
64,2024-01-01,13:15:00,13:45:00,13:45:00,No Delay,30.0,0.0,2024-01-01_13:15:00
65,2024-01-01,14:15:00,15:35:00,15:35:00,No Delay,80.0,0.0,2024-01-01_14:15:00
66,2024-01-01,15:30:00,16:30:00,16:30:00,No Delay,60.0,0.0,2024-01-01_15:30:00
67,2024-01-01,16:00:00,16:30:00,16:30:00,No Delay,30.0,0.0,2024-01-01_16:00:00
68,2024-01-01,16:00:00,17:20:00,17:20:00,No Delay,80.0,0.0,2024-01-01_16:00:00
69,2024-01-01,17:00:00,19:15:00,19:15:00,No Delay,135.0,0.0,2024-01-01_17:00:00
70,2024-01-01,17:15:00,17:45:00,17:45:00,No Delay,30.0,0.0,2024-01-01_17:15:00
71,2024-01-01,17:45:00,18:15:00,18:15:00,No Delay,30.0,0.0,2024-01-01_17:45:00
72,2024-01-02,15:00:00,16:20:00,16:20:00,No Delay,80.0,0.0,2024-01-02_15:00:00
73,2024-01-01,18:30:00,19:00:00,19:00:00,No Delay,30.0,0.0,2024-01-01_18:30:00
74,2024-01-02,15:30:00,16:50:00,16:50:00,No Delay,80.0,0.0,2024-01-02_15:30:00
75,2024-01-01,18:45:00,20:05:00,20:05:00,No Delay,80.0,0.0,2024-01-01_18:45:00
76,2024-01-02,16:00:00,17:20:00,17:20:00,Technical Issue,80.0,0.0,2024-01-02_16:00:00
77,2024-01-02,17:00:00,18:20:00,18:20:00,No Delay,80.0,0.0,2024-01-02_17:00:00
78,2024-01-02,17:45:00,19:05:00,19:05:00,No Delay,80.0,0.0,2024-01-02_17:45:00
79,2024-01-02,18:00:00,19:20:00,19:20:00,No Delay,80.0,0.0,2024-01-02_18:00:00
80,2024-01-02,18:45:00,20:05:00,20:05:00,No Delay,80.0,0.0,2024-01-02_18:45:00
81,2024-01-02,17:45:00,19:35:00,19:35:00,No Delay,110.0,0.0,2024-01-02_17:45:00
82,2024-01-02,19:15:00,19:45:00,19:45:00,No Delay,30.0,0.0,2024-01-02_19:15:00
83,2024-01-02,20:15:00,20:45:00,20:45:00,No Delay,30.0,0.0,2024-01-02_20:15:00
84,2024-01-02,20:15:00,20:45:00,20:45:00,No Delay,30.0,0.0,2024-01-02_20:15:00
85,2024-01-02,00:00:00,00:30:00,00:30:00,No Delay,30.0,0.0,2024-01-02_00:00:00
86,2024-01-02,00:30:00,01:50:00,01:50:00,No Delay,80.0,0.0,2024-01-02_00:30:00
87,2024-01-02,22:30:00,23:45:00,23:45:00,No Delay,75.0,0.0,2024-01-02_22:30:00
88,2024-01-02,01:45:00,02:35:00,02:35:00,No Delay,50.0,0.0,2024-01-02_01:45:00
89,2024-01-02,01:45:00,03:35:00,03:35:00,No Delay,110.0,0.0,2024-01-02_01:45:00
90,2024-01-02,01:45:00,02:35:00,02:35:00,No Delay,50.0,0.0,2024-01-02_01:45:00
91,2024-01-02,02:00:00,03:00:00,03:00:00,No Delay,60.0,0.0,2024-01-02_02:00:00
92,2024-01-02,02:15:00,03:35:00,03:35:00,Technical Issue,80.0,0.0,2024-01-02_02:15:00
93,2024-01-03,23:30:00,00:00:00,00:00:00,No Delay,-1410.0,0.0,2024-01-03_23:30:00
94,2024-01-02,02:30:00,03:00:00,03:00:00,No Delay,30.0,0.0,2024-01-02_02:30:00
95,2024-01-03,23:45:00,01:35:00,01:35:00,No Delay,-1330.0,0.0,2024-01-03_23:45:00
96,2024-01-03,23:45:00,00:35:00,00:35:00,No Delay,-1390.0,0.0,2024-01-03_23:45:00
97,2024-01-02,02:45:00,03:15:00,03:15:00,No Delay,30.0,0.0,2024-01-02_02:45:00
98,2024-01-03,23:45:00,00:35:00,00:35:00,No Delay,-1390.0,0.0,2024-01-03_23:45:00
99,2024-01-03,00:00:00,00:30:00,00:30:00,No Delay,30.0,0.0,2024-01-03_00:00:00
100,2024-01-03,00:15:00,00:45:00,00:45:00,No Delay,30.0,0.0,2024-01-03_00:15:00
101,2024-01-02,03:15:00,04:15:00,04:15:00,No Delay,60.0,0.0,2024-01-02_03:15:00
102,2024-01-02,03:30:00,05:20:00,05:31:00,Weather Conditions,110.0,11.0,2024-01-02_03:30:00
103,2024-01-03,01:30:00,02:00:00,02:00:00,No Delay,30.0,0.0,2024-01-03_01:30:00
104,2024-01-03,01:30:00,02:50:00,02:50:00,No Delay,80.0,0.0,2024-01-03_01:30:00
105,2024-01-02,04:30:00,05:50:00,05:50:00,No Delay,80.0,0.0,2024-01-02_04:30:00
106,2024-01-03,01:45:00,04:00:00,04:00:00,No Delay,135.0,0.0,2024-01-03_01:45:00
107,2024-01-03,01:45:00,03:35:00,03:35:00,No Delay,110.0,0.0,2024-01-03_01:45:00
108,2024-01-03,01:45:00,03:15:00,03:15:00,No Delay,90.0,0.0,2024-01-03_01:45:00
109,2024-01-03,02:00:00,02:30:00,02:30:00,No Delay,30.0,0.0,2024-01-03_02:00:00
110,2024-01-03,02:00:00,03:00:00,03:00:00,No Delay,60.0,0.0,2024-01-03_02:00:00
111,2024-01-03,02:00:00,03:00:00,03:00:00,No Delay,60.0,0.0,2024-01-03_02:00:00
112,2024-01-02,05:00:00,06:20:00,06:20:00,Staffing,80.0,0.0,2024-01-02_05:00:00
113,2024-01-03,02:00:00,03:00:00,03:00:00,No Delay,60.0,0.0,2024-01-03_02:00:00
114,2024-01-03,02:00:00,03:50:00,03:50:00,No Delay,110.0,0.0,2024-01-03_02:00:00
115,2024-01-02,05:15:00,06:35:00,06:35:00,No Delay,80.0,0.0,2024-01-02_05:15:00
116,2024-01-02,05:45:00,06:15:00,06:15:00,No Delay,30.0,0.0,2024-01-02_05:45:00
117,2024-01-02,05:45:00,07:05:00,07:05:00,No Delay,80.0,0.0,2024-01-02_05:45:00
118,2024-01-03,03:00:00,03:30:00,03:30:00,No Delay,30.0,0.0,2024-01-03_03:00:00
119,2024-01-02,06:00:00,06:30:00,06:30:00,No Delay,30.0,0.0,2024-01-02_06:00:00
120,2024-01-02,06:15:00,08:05:00,08:35:00,Technical Issue,110.0,30.0,2024-01-02_06:15:00
121,2024-01-03,03:15:00,04:15:00,04:15:00,No Delay,60.0,0.0,2024-01-03_03:15:00
122,2024-01-02,06:15:00,07:15:00,07:15:00,No Delay,60.0,0.0,2024-01-02_06:15:00
123,2024-01-02,06:15:00,07:15:00,07:15:00,No Delay,60.0,0.0,2024-01-02_06:15:00
124,2024-01-02,06:15:00,06:45:00,06:45:00,No Delay,30.0,0.0,2024-01-02_06:15:00
125,2024-01-02,06:15:00,08:05:00,08:35:00,Technical Issue,110.0,30.0,2024-01-02_06:15:00
126,2024-01-02,06:15:00,06:45:00,06:45:00,No Delay,30.0,0.0,2024-01-02_06:15:00
127,2024-01-02,06:30:00,07:00:00,07:00:00,No Delay,30.0,0.0,2024-01-02_06:30:00
128,2024-01-02,06:30:00,07:50:00,07:50:00,No Delay,80.0,0.0,2024-01-02_06:30:00
129,2024-01-02,06:30:00,07:50:00,07:50:00,No Delay,80.0,0.0,2024-01-02_06:30:00
130,2024-01-02,06:30:00,07:50:00,07:50:00,No Delay,80.0,0.0,2024-01-02_06:30:00
131,2024-01-03,03:30:00,05:20:00,05:38:00,Weather Conditions,110.0,18.0,2024-01-03_03:30:00
132,2024-01-02,06:30:00,07:50:00,07:50:00,No Delay,80.0,0.0,2024-01-02_06:30:00
133,2024-01-02,06:30:00,07:00:00,07:00:00,No Delay,30.0,0.0,2024-01-02_06:30:00
134,2024-01-02,06:30:00,08:20:00,08:20:00,No Delay,110.0,0.0,2024-01-02_06:30:00
135,2024-01-02,06:30:00,08:00:00,08:00:00,No Delay,90.0,0.0,2024-01-02_06:30:00
136,2024-01-02,06:45:00,07:15:00,07:15:00,No Delay,30.0,0.0,2024-01-02_06:45:00
137,2024-01-03,04:00:00,05:50:00,05:50:00,No Delay,110.0,0.0,2024-01-03_04:00:00
138,2024-01-03,04:00:00,05:50:00,05:50:00,No Delay,110.0,0.0,2024-01-03_04:00:00
139,2024-01-02,07:15:00,08:35:00,08:35:00,No Delay,80.0,0.0,2024-01-02_07:15:00
140,2024-01-02,07:30:00,08:50:00,08:50:00,No Delay,80.0,0.0,2024-01-02_07:30:00
141,2024-01-02,07:30:00,09:20:00,09:20:00,No Delay,110.0,0.0,2024-01-02_07:30:00
142,2024-01-02,07:30:00,08:00:00,08:00:00,No Delay,30.0,0.0,2024-01-02_07:30:00
143,2024-01-02,07:30:00,09:20:00,09:20:00,No Delay,110.0,0.0,2024-01-02_07:30:00
144,2024-01-03,04:30:00,05:50:00,05:50:00,No Delay,80.0,0.0,2024-01-03_04:30:00
145,2024-01-03,04:30:00,05:50:00,05:50:00,No Delay,80.0,0.0,2024-01-03_04:30:00
146,2024-01-02,07:30:00,08:15:00,08:15:00,No Delay,45.0,0.0,2024-01-02_07:30:00
147,2024-01-02,07:45:00,09:35:00,09:35:00,No Delay,110.0,0.0,2024-01-02_07:45:00
148,2024-01-02,08:00:00,09:20:00,09:20:00,No Delay,80.0,0.0,2024-01-02_08:00:00
149,2024-01-02,08:00:00,10:15:00,10:15:00,Staff Shortage,135.0,0.0,2024-01-02_08:00:00
150,2024-01-02,08:00:00,10:15:00,10:15:00,Staff Shortage,135.0,0.0,2024-01-02_08:00:00
151,2024-01-03,05:00:00,07:15:00,07:15:00,No Delay,135.0,0.0,2024-01-03_05:00:00
152,2024-01-02,08:00:00,10:15:00,10:15:00,Staff Shortage,135.0,0.0,2024-01-02_08:00:00
153,2024-01-02,08:00:00,09:50:00,09:50:00,No Delay,110.0,0.0,2024-01-02_08:00:00
154,2024-01-02,08:00:00,10:15:00,10:15:00,Staff Shortage,135.0,0.0,2024-01-02_08:00:00
155,2024-01-02,08:00:00,09:20:00,09:20:00,Signal Failure,80.0,0.0,2024-01-02_08:00:00
156,2024-01-02,08:00:00,09:15:00,09:15:00,No Delay,75.0,0.0,2024-01-02_08:00:00
157,2024-01-02,08:00:00,10:15:00,10:15:00,Staff Shortage,135.0,0.0,2024-01-02_08:00:00
158,2024-01-03,05:00:00,07:15:00,07:15:00,No Delay,135.0,0.0,2024-01-03_05:00:00
159,2024-01-02,08:15:00,09:35:00,09:35:00,No Delay,80.0,0.0,2024-01-02_08:15:00
160,2024-01-02,08:15:00,09:35:00,09:35:00,No Delay,80.0,0.0,2024-01-02_08:15:00
161,2024-01-02,08:30:00,09:00:00,09:00:00,No Delay,30.0,0.0,2024-01-02_08:30:00
162,2024-01-03,05:30:00,06:00:00,06:00:00,No Delay,30.0,0.0,2024-01-03_05:30:00
163,2024-01-02,07:45:00,09:15:00,09:15:00,No Delay,90.0,0.0,2024-01-02_07:45:00
164,2024-01-02,08:45:00,09:45:00,09:45:00,No Delay,60.0,0.0,2024-01-02_08:45:00
165,2024-01-02,07:45:00,08:45:00,08:45:00,No Delay,60.0,0.0,2024-01-02_07:45:00
166,2024-01-03,05:45:00,07:05:00,07:05:00,No Delay,80.0,0.0,2024-01-03_05:45:00
167,2024-01-02,08:45:00,09:15:00,09:15:00,No Delay,30.0,0.0,2024-01-02_08:45:00
168,2024-01-02,07:45:00,09:15:00,09:15:00,No Delay,90.0,0.0,2024-01-02_07:45:00
169,2024-01-02,07:45:00,09:35:00,09:35:00,No Delay,110.0,0.0,2024-01-02_07:45:00
170,2024-01-03,05:45:00,06:15:00,06:15:00,No Delay,30.0,0.0,2024-01-03_05:45:00
171,2024-01-02,07:45:00,08:45:00,08:45:00,No Delay,60.0,0.0,2024-01-02_07:45:00
172,2024-01-02,09:00:00,10:00:00,10:59:00,Signal Failure,60.0,59.0,2024-01-02_09:00:00
173,2024-01-02,09:00:00,09:45:00,12:39:00,Signal Failure,45.0,174.0,2024-01-02_09:00:00
174,2024-01-02,09:00:00,10:50:00,10:50:00,No Delay,110.0,0.0,2024-01-02_09:00:00
175,2024-01-03,06:00:00,06:30:00,06:30:00,No Delay,30.0,0.0,2024-01-03_06:00:00
176,2024-01-02,09:00:00,10:50:00,10:50:00,No Delay,110.0,0.0,2024-01-02_09:00:00
177,2024-01-03,06:00:00,06:30:00,06:30:00,No Delay,30.0,0.0,2024-01-03_06:00:00
178,2024-01-02,09:00:00,09:30:00,09:30:00,No Delay,30.0,0.0,2024-01-02_09:00:00
179,2024-01-03,06:15:00,06:45:00,06:45:00,Signal Failure,30.0,0.0,2024-01-03_06:15:00
180,2024-01-02,09:15:00,09:45:00,09:45:00,No Delay,30.0,0.0,2024-01-02_09:15:00
181,2024-01-03,07:15:00,07:45:00,07:45:00,No Delay,30.0,0.0,2024-01-03_07:15:00
182,2024-01-03,06:30:00,07:00:00,07:00:00,No Delay,30.0,0.0,2024-01-03_06:30:00
183,2024-01-03,06:30:00,07:50:00,07:50:00,No Delay,80.0,0.0,2024-01-03_06:30:00
184,2024-01-03,06:30:00,07:50:00,07:50:00,No Delay,80.0,0.0,2024-01-03_06:30:00
185,2024-01-03,06:30:00,07:50:00,07:50:00,No Delay,80.0,0.0,2024-01-03_06:30:00
186,2024-01-03,07:45:00,09:15:00,09:15:00,No Delay,90.0,0.0,2024-01-03_07:45:00
187,2024-01-02,09:45:00,11:35:00,11:35:00,Staff Shortage,110.0,0.0,2024-01-02_09:45:00
188,2024-01-03,07:45:00,08:45:00,08:45:00,No Delay,60.0,0.0,2024-01-03_07:45:00
189,2024-01-03,06:45:00,08:35:00,08:35:00,No Delay,110.0,0.0,2024-01-03_06:45:00
190,2024-01-03,06:45:00,08:35:00,08:35:00,No Delay,110.0,0.0,2024-01-03_06:45:00
191,2024-01-03,07:45:00,09:15:00,09:15:00,No Delay,90.0,0.0,2024-01-03_07:45:00
192,2024-01-02,09:45:00,11:35:00,11:35:00,Staff Shortage,110.0,0.0,2024-01-02_09:45:00
193,2024-01-03,07:15:00,07:45:00,07:45:00,No Delay,30.0,0.0,2024-01-03_07:15:00
194,2024-01-03,07:30:00,08:40:00,08:40:00,No Delay,70.0,0.0,2024-01-03_07:30:00
195,2024-01-02,10:30:00,12:20:00,12:20:00,No Delay,110.0,0.0,2024-01-02_10:30:00
196,2024-01-03,07:30:00,08:00:00,08:00:00,No Delay,30.0,0.0,2024-01-03_07:30:00
197,2024-01-03,07:30:00,08:15:00,08:15:00,No Delay,45.0,0.0,2024-01-03_07:30:00
198,2024-01-03,07:30:00,08:00:00,08:00:00,No Delay,30.0,0.0,2024-01-03_07:30:00
199,2024-01-03,07:30:00,08:15:00,08:15:00,No Delay,45.0,0.0,2024-01-03_07:30:00
200,2024-01-02,10:45:00,11:15:00,11:15:00,No Delay,30.0,0.0,2024-01-02_10:45:00
201,2024-01-03,07:45:00,09:35:00,09:35:00,No Delay,110.0,0.0,2024-01-03_07:45:00
202,2024-01-03,08:00:00,09:50:00,09:50:00,No Delay,110.0,0.0,2024-01-03_08:00:00
203,2024-01-03,08:00:00,10:15:00,11:09:00,Weather,135.0,54.0,2024-01-03_08:00:00
204,2024-01-03,08:00:00,10:15:00,11:09:00,Weather,135.0,54.0,2024-01-03_08:00:00
205,2024-01-03,08:00:00,10:15:00,11:09:00,Weather,135.0,54.0,2024-01-03_08:00:00
206,2024-01-02,11:00:00,12:50:00,12:50:00,No Delay,110.0,0.0,2024-01-02_11:00:00
207,2024-01-02,11:00:00,12:20:00,12:20:00,No Delay,80.0,0.0,2024-01-02_11:00:00
208,2024-01-03,07:45:00,09:35:00,09:35:00,No Delay,110.0,0.0,2024-01-03_07:45:00
209,2024-01-02,11:15:00,11:45:00,11:45:00,No Delay,30.0,0.0,2024-01-02_11:15:00
210,2024-01-03,08:15:00,09:35:00,09:35:00,Signal Failure,80.0,0.0,2024-01-03_08:15:00
211,2024-01-03,09:45:00,11:05:00,11:05:00,No Delay,80.0,0.0,2024-01-03_09:45:00
212,2024-01-03,08:45:00,09:45:00,09:45:00,No Delay,60.0,0.0,2024-01-03_08:45:00
213,2024-01-03,09:00:00,09:45:00,10:22:00,Signal Failure,45.0,37.0,2024-01-03_09:00:00
214,2024-01-03,09:00:00,09:30:00,09:30:00,No Delay,30.0,0.0,2024-01-03_09:00:00
215,2024-01-02,12:00:00,13:20:00,13:20:00,No Delay,80.0,0.0,2024-01-02_12:00:00
216,2024-01-03,09:00:00,10:00:00,10:00:00,No Delay,60.0,0.0,2024-01-03_09:00:00
217,2024-01-03,09:15:00,11:30:00,11:30:00,No Delay,135.0,0.0,2024-01-03_09:15:00
218,2024-01-02,11:15:00,11:45:00,12:17:00,Technical Issue,30.0,32.0,2024-01-02_11:15:00
219,2024-01-03,09:15:00,11:30:00,11:30:00,No Delay,135.0,0.0,2024-01-03_09:15:00
220,2024-01-03,09:30:00,11:20:00,11:20:00,No Delay,110.0,0.0,2024-01-03_09:30:00
221,2024-01-03,09:30:00,10:50:00,10:50:00,No Delay,80.0,0.0,2024-01-03_09:30:00
222,2024-01-02,12:45:00,13:45:00,13:45:00,No Delay,60.0,0.0,2024-01-02_12:45:00
223,2024-01-02,12:45:00,15:15:00,15:15:00,No Delay,150.0,0.0,2024-01-02_12:45:00
224,2024-01-02,12:45:00,14:05:00,14:05:00,No Delay,80.0,0.0,2024-01-02_12:45:00
225,2024-01-02,13:30:00,13:55:00,13:55:00,Staffing,25.0,0.0,2024-01-02_13:30:00
226,2024-01-03,10:30:00,12:20:00,12:20:00,No Delay,110.0,0.0,2024-01-03_10:30:00
227,2024-01-02,13:30:00,14:00:00,14:00:00,No Delay,30.0,0.0,2024-01-02_13:30:00
228,2024-01-03,11:00:00,11:30:00,14:24:00,Staff Shortage,30.0,174.0,2024-01-03_11:00:00
229,2024-01-03,11:00:00,12:20:00,12:20:00,No Delay,80.0,0.0,2024-01-03_11:00:00
230,2024-01-03,11:00:00,12:50:00,12:50:00,No Delay,110.0,0.0,2024-01-03_11:00:00
231,2024-01-02,14:30:00,15:00:00,15:00:00,No Delay,30.0,0.0,2024-01-02_14:30:00
232,2024-01-02,14:30:00,16:20:00,16:20:00,No Delay,110.0,0.0,2024-01-02_14:30:00
233,2024-01-02,14:30:00,16:20:00,16:20:00,No Delay,110.0,0.0,2024-01-02_14:30:00
234,2024-01-03,11:45:00,13:05:00,13:05:00,No Delay,80.0,0.0,2024-01-03_11:45:00
235,2024-01-03,11:45:00,13:35:00,13:35:00,No Delay,110.0,0.0,2024-01-03_11:45:00
236,2024-01-03,12:00:00,13:20:00,13:20:00,No Delay,80.0,0.0,2024-01-03_12:00:00
237,2024-01-02,15:00:00,16:00:00,16:00:00,No Delay,60.0,0.0,2024-01-02_15:00:00
238,2024-01-02,15:00:00,16:00:00,16:00:00,No Delay,60.0,0.0,2024-01-02_15:00:00
239,2024-01-02,15:15:00,16:35:00,16:35:00,No Delay,80.0,0.0,2024-01-02_15:15:00
240,2024-01-02,15:30:00,16:30:00,16:30:00,No Delay,60.0,0.0,2024-01-02_15:30:00
241,2024-01-03,12:45:00,14:05:00,14:05:00,No Delay,80.0,0.0,2024-01-03_12:45:00
242,2024-01-02,15:45:00,18:15:00,18:15:00,No Delay,150.0,0.0,2024-01-02_15:45:00
243,2024-01-03,12:45:00,13:45:00,13:45:00,Technical Issue,60.0,0.0,2024-01-03_12:45:00
244,2024-01-03,12:45:00,14:05:00,14:05:00,No Delay,80.0,0.0,2024-01-03_12:45:00
245,2024-01-02,15:45:00,17:05:00,17:05:00,No Delay,80.0,0.0,2024-01-02_15:45:00
246,2024-01-02,16:00:00,17:10:00,17:10:00,No Delay,70.0,0.0,2024-01-02_16:00:00
247,2024-01-02,16:00:00,17:20:00,17:20:00,Technical Issue,80.0,0.0,2024-01-02_16:00:00
248,2024-01-02,16:00:00,17:20:00,17:20:00,Technical Issue,80.0,0.0,2024-01-02_16:00:00
249,2024-01-02,16:00:00,16:30:00,16:30:00,No Delay,30.0,0.0,2024-01-02_16:00:00
250,2024-01-02,16:00:00,17:20:00,17:20:00,No Delay,80.0,0.0,2024-01-02_16:00:00
251,2024-01-02,16:00:00,17:20:00,17:20:00,Technical Issue,80.0,0.0,2024-01-02_16:00:00
252,2024-01-02,16:00:00,17:20:00,17:20:00,Technical Issue,80.0,0.0,2024-01-02_16:00:00
253,2024-01-02,16:00:00,17:20:00,17:20:00,No Delay,80.0,0.0,2024-01-02_16:00:00
254,2024-01-02,16:15:00,18:05:00,18:05:00,No Delay,110.0,0.0,2024-01-02_16:15:00
255,2024-01-02,16:15:00,16:45:00,16:45:00,No Delay,30.0,0.0,2024-01-02_16:15:00
256,2024-01-03,13:15:00,13:45:00,13:45:00,No Delay,30.0,0.0,2024-01-03_13:15:00
257,2024-01-03,13:15:00,13:45:00,13:45:00,No Delay,30.0,0.0,2024-01-03_13:15:00
258,2024-01-02,17:45:00,19:35:00,19:35:00,No Delay,110.0,0.0,2024-01-02_17:45:00
259,2024-01-03,13:45:00,16:00:00,16:00:00,No Delay,135.0,0.0,2024-01-03_13:45:00
260,2024-01-02,17:45:00,18:30:00,18:30:00,No Delay,45.0,0.0,2024-01-02_17:45:00
