Transaction_ID,Purchase_Type,Payment_Method,Railcard,Ticket_Class,Ticket_Type,Price,Journey_Status,Departure_Station_ID,Arrival_Station_ID,Time_ID,Journey_ID,Refund_Request
5579a244-2516-4511-8b57,Online,Contactless,Disabled,Standard,Advance,5,On Time,32,8,98,98,No
2a2eb6c9-689e-473d-9e6c,Online,Contactless,Adult,First Class,Advance,6,On Time,19,13,99,99,No
7703c1a2-5115-436c-9bc6,Station,Credit Card,None,Standard,Advance,3,On Time,13,19,100,100,No
97e4266f-7f58-4a5f-9969,Station,Credit Card,None,Standard,Off-Peak,19,On Time,16,24,101,101,No
c57dd321-4e2f-46c0-8cfb,Station,Credit Card,None,First Class,Off-Peak,200,Delayed,19,14,102,102,No
4ddb887e-c15d-48f2-96af,Online,Contactless,Disabled,Standard,Advance,2,On Time,13,19,103,103,No
17027141-9b2d-42b1-a4c9,Online,Contactless,Disabled,Standard,Advance,5,On Time,17,1,104,104,No
21cb445d-719e-4b9b-8ed8,Station,Contactless,None,Standard,Off-Peak,12,On Time,17,1,105,105,No
7c7a86b0-266e-496e-b45d,Online,Credit Card,None,Standard,Advance,86,On Time,19,16,106,106,No
41a8d734-4dc8-45bd-8914,Station,Contactless,None,Standard,Advance,35,On Time,15,32,107,107,No
caa24b1d-c3e2-4ef5-9262,Station,Credit Card,None,Standard,Advance,10,On Time,13,11,108,108,No
32ee6cef-e35f-4747-a031,Station,Credit Card,None,Standard,Advance,3,On Time,13,19,109,109,No
c9ce6b19-30d8-4b5b-912b,Online,Credit Card,Disabled,Standard,Advance,8,On Time,16,24,110,110,No
d8f26c88-4e2e-4cca-af4b,Station,Credit Card,None,First Class,Advance,27,On Time,16,24,111,111,No
d618c56f-3512-484d-9876,Station,Credit Card,None,Standard,Off-Peak,12,Cancelled,17,1,112,112,Yes
d60a6bf7-1847-4ffd-83f3,Station,Credit Card,None,Standard,Advance,13,On Time,16,24,113,113,No
c1d5ff1e-8ef7-4bbb-b289,Online,Credit Card,None,Standard,Advance,35,On Time,15,32,114,114,No
44567a90-6660-4d0f-bc10,Online,Contactless,None,Standard,Off-Peak,10,On Time,14,1,115,115,No
d4f17a6e-2e59-419d-8734,Station,Credit Card,None,Standard,Off-Peak,4,On Time,19,13,116,116,No
51106ced-bbbd-425b-a856,Station,Credit Card,None,Standard,Off-Peak,10,On Time,14,1,117,117,No
ce811130-f204-4243-8392,Online,Credit Card,None,Standard,Advance,3,On Time,13,19,118,118,No
c160b270-46a7-414e-90f5,Online,Contactless,None,Standard,Anytime,5,On Time,19,13,119,119,No
e5e8c888-b22e-4bf5-aaf6,Online,Contactless,Adult,Standard,Anytime,47,Delayed,15,32,120,120,No
671ede8a-bbb1-4b75-852a,Station,Credit Card,None,Standard,Advance,13,On Time,16,24,121,121,No
326a3109-dbce-4572-af36,Online,Debit Card,Senior,Standard,Anytime,17,On Time,16,24,122,122,No
961476a2-180f-4fb6-9777,Online,Debit Card,Senior,Standard,Anytime,17,On Time,16,24,123,123,No
e8ac00a5-dbb2-490f-afb5,Online,Credit Card,Senior,Standard,Anytime,3,On Time,19,13,124,124,No
dc236178-ccb3-4aa1-9cea,Online,Debit Card,None,Standard,Anytime,70,Delayed,15,32,125,125,No
b9732a42-f970-40d3-a1f7,Online,Credit Card,Senior,Standard,Anytime,3,On Time,19,13,126,126,No
6398950a-acca-4514-82aa,Online,Credit Card,None,First Class,Anytime,14,On Time,1,26,127,127,No
6e779150-0479-440d-8389,Online,Credit Card,None,Standard,Anytime,13,On Time,14,1,128,128,No
704ee1a5-aa39-49b6-b489,Online,Credit Card,Disabled,Standard,Anytime,29,On Time,1,17,129,129,No
45843d84-051f-4f20-8129,Station,Credit Card,None,First Class,Anytime,107,On Time,17,1,130,130,No
a6ab593b-474f-41a5-bab9,Station,Credit Card,None,Standard,Advance,84,Delayed,19,14,131,131,No
892a0ecf-0a92-4468-80f7,Station,Credit Card,Adult,Standard,Anytime,27,On Time,1,14,132,132,No
62d5c437-eae8-4cdd-9a9e,Online,Credit Card,Disabled,Standard,Anytime,7,On Time,32,7,133,133,No
f59d227c-75ef-40d7-b3d0,Online,Debit Card,None,Standard,Anytime,143,On Time,14,19,134,134,No
43f6e2cc-1e3c-4485-b3d5,Online,Credit Card,Disabled,Standard,Anytime,43,On Time,17,31,135,135,No
7cce43e2-e42c-4f96-bb39,Station,Credit Card,None,Standard,Anytime,5,On Time,19,13,136,136,No
b844490f-5176-426e-951b,Online,Credit Card,Adult,Standard,Advance,23,On Time,15,32,137,137,No
e1820c0f-19d6-4b0f-83bb,Online,Contactless,None,Standard,Advance,35,On Time,15,32,138,138,No
25020a8c-b03d-41b4-9b03,Online,Credit Card,None,Standard,Anytime,13,On Time,14,1,139,139,No
e1f43707-2749-44c2-a7b2,Station,Credit Card,None,Standard,Anytime,13,On Time,14,1,140,140,No
99a8ff6a-a712-455f-9fc1,Online,Credit Card,None,Standard,Anytime,70,On Time,15,32,141,141,No
92a922af-b2e9-480c-80c4,Station,Contactless,None,Standard,Anytime,6,On Time,13,19,142,142,No
4731f61c-7199-4a3e-9b47,Online,Credit Card,None,Standard,Anytime,70,On Time,15,32,143,143,No
a6a7421b-1640-49f2-8904,Station,Contactless,None,Standard,Advance,8,On Time,17,1,144,144,No
43503dfa-4ff2-475c-bc7c,Online,Credit Card,None,Standard,Advance,22,On Time,1,17,145,145,No
a27e99cd-cc93-4483-819c,Online,Credit Card,None,Standard,Anytime,18,On Time,24,27,146,146,No
e50e2ca3-9818-4a4c-a19b,Station,Credit Card,None,Standard,Anytime,70,On Time,15,32,147,147,No
d1e985a0-35b2-4edf-9653,Online,Contactless,None,Standard,Anytime,13,On Time,14,1,148,148,No
eace2ada-5294-47e6-b4b8,Station,Credit Card,None,First Class,Anytime,235,Cancelled,13,14,149,149,No
b1c674dc-435d-4485-b654,Station,Credit Card,None,Standard,Anytime,151,Cancelled,13,14,150,150,No
6a6595e4-0d2c-490a-8cdc,Station,Credit Card,Adult,First Class,Advance,78,On Time,13,14,151,151,No
0713aec5-3bd8-4086-a92f,Station,Credit Card,None,Standard,Anytime,151,Cancelled,13,14,152,152,No
e149328e-6ed5-4d7c-ab84,Online,Debit Card,None,Standard,Anytime,143,On Time,14,19,153,153,No
40a90cc6-8d79-43d6-8929,Station,Credit Card,None,Standard,Anytime,151,Cancelled,13,14,154,154,No
a3102fe0-5d21-4e37-b5ee,Online,Credit Card,None,Standard,Anytime,16,Cancelled,17,1,155,155,No
1e528e8b-bc64-4e79-a1b7,Online,Contactless,None,Standard,Anytime,34,On Time,22,2,156,156,No
63a8b7d1-22cb-4399-bb1d,Station,Credit Card,None,Standard,Anytime,151,Cancelled,13,14,157,157,No
f5077bd8-c17b-4105-94d5,Station,Credit Card,Adult,Standard,Advance,50,On Time,13,14,158,158,No
5c4f45c6-12fd-44b0-8f71,Online,Credit Card,Adult,Standard,Anytime,11,On Time,17,1,159,159,No
44dcf701-65e1-41ac-84c0,Online,Credit Card,None,Standard,Anytime,13,On Time,14,1,160,160,No
8bbc9704-218e-4baf-93c5,Online,Credit Card,Adult,Standard,Anytime,3,On Time,19,13,161,161,No
38c6bacb-6178-4662-a775,Station,Credit Card,None,First Class,Advance,10,On Time,19,13,162,162,No
b3573007-19e4-4e38-9a51,Online,Credit Card,None,Standard,Anytime,35,On Time,16,22,163,163,No
414e9fd0-9e4a-4fa1-8711,Online,Contactless,None,Standard,Anytime,25,On Time,16,24,164,164,No
48b383a5-3a8c-4851-85c1,Online,Credit Card,None,Standard,Anytime,25,On Time,16,24,165,165,No
18f0890f-ae83-4b11-a3b6,Station,Credit Card,None,Standard,Advance,7,On Time,14,1,166,166,No
aad2da3a-222b-43e7-83a9,Station,Contactless,None,Standard,Anytime,5,On Time,19,13,167,167,No
e9f785bf-ee3d-44db-b2e1,Online,Credit Card,None,Standard,Anytime,35,On Time,16,22,168,168,No
48f19194-1ea5-403c-9c0a,Online,Credit Card,None,Standard,Anytime,70,On Time,15,32,169,169,No
1044df92-a0fd-4a75-bb01,Online,Credit Card,Disabled,Standard,Advance,2,On Time,13,19,170,170,No
dd9f24a6-c77c-4558-a041,Online,Credit Card,None,Standard,Anytime,25,On Time,16,24,171,171,No
abbbe382-faca-4289-b9b7,Station,Contactless,Adult,Standard,Off-Peak,12,Delayed,19,20,172,172,No
32cabb23-6a69-44e5-a418,Station,Contactless,Adult,Standard,Off-Peak,10,Delayed,19,11,173,173,No
d4c3baad-ee24-41f4-8d41,Online,Credit Card,None,First Class,Off-Peak,86,On Time,15,32,174,174,No
62b88907-0ae1-4654-a62a,Online,Contactless,None,Standard,Advance,3,On Time,19,13,175,175,No
08af5c73-f438-46e2-b401,Online,Debit Card,Senior,Standard,Off-Peak,35,On Time,15,32,176,176,No
dbc35238-0f8a-40f0-b62b,Online,Contactless,None,Standard,Advance,3,On Time,19,13,177,177,No
6813fc61-5ad1-4c64-b7c1,Online,Contactless,None,Standard,Off-Peak,4,On Time,19,13,178,178,No
abcbca79-681d-4c5e-8867,Online,Credit Card,Senior,Standard,Advance,2,Cancelled,19,13,179,179,Yes
e40c6c02-317d-47c4-8aa9,Online,Contactless,Adult,Standard,Off-Peak,3,On Time,19,13,180,180,No
c0eace8f-2e1d-4c07-8021,Online,Credit Card,None,Standard,Advance,3,On Time,19,13,181,181,No
cf96a262-65bb-4636-9f8e,Online,Credit Card,Disabled,Standard,Advance,4,On Time,32,7,182,182,No
57d4ae3a-5ada-4247-8b29,Online,Credit Card,Disabled,Standard,Advance,15,On Time,1,17,183,183,No
2938ca8c-fb70-489c-88fa,Station,Credit Card,None,Standard,Advance,8,On Time,17,1,184,184,No
72216639-8cbb-494d-ab4e,Station,Credit Card,None,Standard,Advance,8,On Time,17,1,185,185,No
1c184862-4155-410f-b111,Online,Credit Card,None,Standard,Advance,18,On Time,16,22,186,186,No
b2bf9180-176a-466c-8661,Station,Contactless,Adult,Standard,Off-Peak,35,Cancelled,15,32,187,187,No
1ae8686f-5468-4caa-b9b8,Online,Credit Card,None,Standard,Advance,13,On Time,16,24,188,188,No
46a67e6e-4006-4df6-9499,Station,Contactless,Adult,Standard,Advance,23,On Time,15,32,189,189,No
1b865f74-c857-40de-8bb3,Station,Credit Card,None,Standard,Advance,35,On Time,15,32,190,190,No
08043a64-07cf-4f17-bf18,Online,Credit Card,None,First Class,Advance,32,On Time,16,22,191,191,No
bcd1f9fe-c858-466a-b316,Station,Contactless,Adult,Standard,Off-Peak,35,Cancelled,15,32,192,192,Yes
1bcad4d1-a4f1-48ce-856d,Online,Contactless,Adult,Standard,Advance,2,On Time,19,13,193,193,No
d95c048b-47cd-4597-b2e4,Online,Credit Card,None,Standard,Advance,34,On Time,32,23,194,194,No
f6f18022-b9fa-40cb-8f88,Station,Contactless,None,Standard,Off-Peak,53,On Time,15,32,195,195,No
be481e94-bf95-4630-a9fc,Station,Contactless,None,Standard,Advance,3,On Time,13,19,196,196,No
7a185b26-a5b5-47f2-868d,Online,Credit Card,None,Standard,Advance,9,On Time,24,27,197,197,No
8f923665-1aa2-48d0-b670,Online,Credit Card,None,Standard,Advance,3,On Time,13,19,198,198,No
5b31ef7c-3fec-4334-bb6f,Online,Credit Card,None,Standard,Advance,9,On Time,24,27,199,199,No
25f3a4a2-a167-4532-87fe,Station,Credit Card,None,Standard,Off-Peak,5,On Time,13,19,200,200,No
8cf9cded-25a7-4bdb-a489,Station,Credit Card,None,Standard,Advance,35,On Time,15,32,201,201,No
25d72d1a-f4ff-4277-88df,Station,Credit Card,None,First Class,Advance,108,On Time,14,19,202,202,No
ba9e6ec7-6c30-402d-9793,Station,Credit Card,None,Standard,Advance,76,Delayed,13,14,203,203,No
100e0c8f-029e-43ad-9e66,Station,Credit Card,None,Standard,Advance,76,Delayed,13,14,204,204,No
ef586c9b-fa89-47ac-ade6,Station,Credit Card,None,Standard,Advance,76,Delayed,13,14,205,205,No
3682ea88-833e-4a99-bd80,Station,Contactless,None,Standard,Off-Peak,53,On Time,15,32,206,206,No
03c979c8-bc1b-45a4-9cae,Online,Contactless,None,Standard,Off-Peak,12,On Time,17,1,207,207,No
fefff4cd-0f11-4924-a2ca,Online,Credit Card,None,Standard,Advance,72,On Time,14,19,208,208,No
8ffbc995-f676-4fb1-a5bc,Station,Credit Card,None,Standard,Off-Peak,4,On Time,19,13,209,209,No
3ca22840-45b6-40d0-9778,Station,Credit Card,Disabled,Standard,Advance,4,Cancelled,14,1,210,210,No
bc4359df-f9cd-4564-8a3c,Station,Credit Card,Senior,Standard,Advance,4,On Time,14,1,211,211,No
8daa9049-1401-4ec4-bfbd,Online,Contactless,None,Standard,Advance,13,On Time,16,24,212,212,No
9f41ca1d-fbc7-4a9d-b00a,Station,Contactless,Adult,Standard,Advance,6,Delayed,19,11,213,213,No
be9f36ee-64a2-4f41-9ac0,Online,Credit Card,Adult,Standard,Advance,2,On Time,13,19,214,214,No
9886f5b6-f820-4163-8efe,Online,Contactless,None,Standard,Off-Peak,12,On Time,17,1,215,215,No
134b5645-cc2e-40cf-9f46,Online,Contactless,None,Standard,Advance,13,On Time,16,24,216,216,No
0e2e0c57-57b0-4a28-bd5e,Online,Credit Card,None,First Class,Advance,106,On Time,15,13,217,217,No
be826c41-d24e-4086-8550,Station,Debit Card,Adult,Standard,Off-Peak,3,Delayed,13,19,218,218,Yes
d2db47e8-24d9-42f2-837d,Online,Credit Card,None,Standard,Advance,65,On Time,15,13,219,219,No
223cb664-d5a3-46eb-98b0,Station,Contactless,None,Standard,Advance,35,On Time,15,32,220,220,No
3e50606b-76bf-4c7f-bdfa,Online,Contactless,None,Standard,Advance,7,On Time,14,1,221,221,No
6318a62c-f665-4d46-a2e1,Online,Credit Card,None,Standard,Off-Peak,19,On Time,16,24,222,222,No
54aa5474-a382-49f9-bd3f,Station,Credit Card,Adult,Standard,Off-Peak,24,On Time,32,9,223,223,No
472e87a7-2b8c-411c-bd0e,Station,Contactless,None,Standard,Off-Peak,10,On Time,14,1,224,224,No
4aa48622-9ce5-4a77-b891,Station,Credit Card,None,Standard,Off-Peak,19,Cancelled,24,16,225,225,Yes
cc9f814b-2c27-406d-909b,Station,Contactless,None,Standard,Advance,35,On Time,15,32,226,226,No
313b3ab4-17a0-4d9f-a83b,Station,Contactless,Senior,Standard,Off-Peak,3,On Time,19,13,227,227,No
d551d829-2581-4478-8b34,Station,Contactless,None,Standard,Advance,3,Delayed,19,13,228,228,No
de18c2c6-8589-4291-b598,Online,Contactless,None,Standard,Advance,8,On Time,17,1,229,229,No
9f782db9-1647-4e9f-988b,Online,Contactless,None,Standard,Advance,35,On Time,15,32,230,230,No
fe40ae09-8fc0-49cb-89e3,Online,Contactless,None,First Class,Off-Peak,14,On Time,19,13,231,231,No
a2a08f51-0a50-4152-a724,Station,Credit Card,Adult,Standard,Off-Peak,35,On Time,15,32,232,232,No
56c1a62e-8e4c-45e7-b06f,Station,Credit Card,Disabled,Standard,Off-Peak,35,On Time,15,32,233,233,No
5850abf1-1705-4e60-b5a5,Online,Credit Card,None,First Class,Advance,52,On Time,14,1,234,234,No
ed16c60a-558a-4c24-a171,Online,Credit Card,None,Standard,Advance,35,On Time,15,32,235,235,No
db731db6-c5cb-46c1-aeba,Online,Contactless,None,Standard,Advance,8,On Time,17,1,236,236,No
0af4d6c9-5f71-41c2-a95e,Station,Credit Card,None,Standard,Off-Peak,19,On Time,16,24,237,237,No
47b8c742-0f53-4ea6-86e4,Station,Credit Card,None,Standard,Off-Peak,19,On Time,16,24,238,238,No
88ab44a1-60fb-41a0-a281,Online,Credit Card,Adult,Standard,Off-Peak,8,On Time,17,1,239,239,No
ad841279-67b4-478f-82b0,Online,Contactless,None,Standard,Off-Peak,19,On Time,16,24,240,240,No
2a63237d-ef3a-4de5-8329,Station,Contactless,None,Standard,Advance,7,On Time,14,1,241,241,No
b3404a89-184f-4004-a87a,Station,Credit Card,None,Standard,Off-Peak,35,On Time,32,9,242,242,No
fc2b6b34-a474-49a2-9d32,Online,Credit Card,Disabled,Standard,Advance,8,Cancelled,16,24,243,243,No
f4d14ed3-753c-46cb-81b4,Station,Contactless,None,Standard,Advance,7,On Time,14,1,244,244,No
ecda84cd-74a7-4fda-af1d,Online,Credit Card,Disabled,Standard,Off-Peak,7,On Time,14,1,245,245,No
c61083f7-8f97-411a-ae32,Station,Credit Card,None,Standard,Anytime,67,On Time,32,23,246,246,No
3536656e-691c-4537-85ee,Online,Contactless,None,Standard,Anytime,13,Cancelled,14,1,247,247,Yes
87ef37fc-ab43-4c69-b28a,Station,Credit Card,Adult,Standard,Anytime,9,Cancelled,14,1,248,248,No
d9514854-125b-4210-8227,Station,Credit Card,None,Standard,Anytime,6,On Time,13,19,249,249,No
fa90e6b4-b1fa-4d81-ad9e,Station,Debit Card,Disabled,Standard,Anytime,11,On Time,17,1,250,250,No
9cf26300-61d7-4b51-bd89,Station,Debit Card,Disabled,Standard,Anytime,9,Cancelled,14,1,251,251,No
d290402d-f3bb-4abb-a8fc,Station,Debit Card,Disabled,Standard,Anytime,9,Cancelled,14,1,252,252,No
