Transaction ID,Purchase Type,Payment Method,Railcard,Ticket Class,Ticket Type,Price,Departure Station ID,Arrival Station ID,Time ID,Journey Status,Journey ID
21cb445d-719e-4b9b-8ed8,Station,Contactless,,Standard,Off-Peak,12,8,7,,On Time,
7c7a86b0-266e-496e-b45d,Online,Credit Card,,Standard,Advance,86,6,1,,On Time,
41a8d734-4dc8-45bd-8914,Station,Contactless,,Standard,Advance,35,2,5,,On Time,
caa24b1d-c3e2-4ef5-9262,Station,Credit Card,,Standard,Advance,10,3,18,,On Time,
32ee6cef-e35f-4747-a031,Station,Credit Card,,Standard,Advance,3,3,6,,On Time,
c9ce6b19-30d8-4b5b-912b,Online,Credit Card,Disabled,Standard,Advance,8,1,10,,On Time,
d8f26c88-4e2e-4cca-af4b,Station,Credit Card,,First Class,Advance,27,1,10,,On Time,
d618c56f-3512-484d-9876,Station,Credit Card,,Standard,Off-Peak,12,8,7,,Cancelled,
d60a6bf7-1847-4ffd-83f3,Station,Credit Card,,Standard,Advance,13,1,10,,On Time,
c1d5ff1e-8ef7-4bbb-b289,Online,Credit Card,,Standard,Advance,35,2,5,,On Time,
44567a90-6660-4d0f-bc10,Online,Contactless,,Standard,Off-Peak,10,4,7,,On Time,
d4f17a6e-2e59-419d-8734,Station,Credit Card,,Standard,Off-Peak,4,6,3,,On Time,
51106ced-bbbd-425b-a856,Station,Credit Card,,Standard,Off-Peak,10,4,7,,On Time,
ce811130-f204-4243-8392,Online,Credit Card,,Standard,Advance,3,3,6,,On Time,
c160b270-46a7-414e-90f5,Online,Contactless,,Standard,Anytime,5,6,3,,On Time,
e5e8c888-b22e-4bf5-aaf6,Online,Contactless,Adult,Standard,Anytime,47,2,5,,Delayed,
671ede8a-bbb1-4b75-852a,Station,Credit Card,,Standard,Advance,13,1,10,,On Time,
326a3109-dbce-4572-af36,Online,Debit Card,Senior,Standard,Anytime,17,1,10,,On Time,
961476a2-180f-4fb6-9777,Online,Debit Card,Senior,Standard,Anytime,17,1,10,,On Time,
e8ac00a5-dbb2-490f-afb5,Online,Credit Card,Senior,Standard,Anytime,3,6,3,,On Time,
dc236178-ccb3-4aa1-9cea,Online,Debit Card,,Standard,Anytime,70,2,5,,Delayed,
b9732a42-f970-40d3-a1f7,Online,Credit Card,Senior,Standard,Anytime,3,6,3,,On Time,
6398950a-acca-4514-82aa,Online,Credit Card,,First Class,Anytime,14,7,19,,On Time,
6e779150-0479-440d-8389,Online,Credit Card,,Standard,Anytime,13,4,7,,On Time,
704ee1a5-aa39-49b6-b489,Online,Credit Card,Disabled,Standard,Anytime,29,7,8,,On Time,
45843d84-051f-4f20-8129,Station,Credit Card,,First Class,Anytime,107,8,7,,On Time,
a6ab593b-474f-41a5-bab9,Station,Credit Card,,Standard,Advance,84,6,4,,Delayed,
892a0ecf-0a92-4468-80f7,Station,Credit Card,Adult,Standard,Anytime,27,7,4,,On Time,
62d5c437-eae8-4cdd-9a9e,Online,Credit Card,Disabled,Standard,Anytime,7,5,20,,On Time,
f59d227c-75ef-40d7-b3d0,Online,Debit Card,,Standard,Anytime,143,4,6,,On Time,
43f6e2cc-1e3c-4485-b3d5,Online,Credit Card,Disabled,Standard,Anytime,43,8,17,,On Time,
7cce43e2-e42c-4f96-bb39,Station,Credit Card,,Standard,Anytime,5,6,3,,On Time,
b844490f-5176-426e-951b,Online,Credit Card,Adult,Standard,Advance,23,2,5,,On Time,
e1820c0f-19d6-4b0f-83bb,Online,Contactless,,Standard,Advance,35,2,5,,On Time,
25020a8c-b03d-41b4-9b03,Online,Credit Card,,Standard,Anytime,13,4,7,,On Time,
e1f43707-2749-44c2-a7b2,Station,Credit Card,,Standard,Anytime,13,4,7,,On Time,
99a8ff6a-a712-455f-9fc1,Online,Credit Card,,Standard,Anytime,70,2,5,,On Time,
92a922af-b2e9-480c-80c4,Station,Contactless,,Standard,Anytime,6,3,6,,On Time,
4731f61c-7199-4a3e-9b47,Online,Credit Card,,Standard,Anytime,70,2,5,,On Time,
a6a7421b-1640-49f2-8904,Station,Contactless,,Standard,Advance,8,8,7,,On Time,
43503dfa-4ff2-475c-bc7c,Online,Credit Card,,Standard,Advance,22,7,8,,On Time,
a27e99cd-cc93-4483-819c,Online,Credit Card,,Standard,Anytime,18,10,21,,On Time,
e50e2ca3-9818-4a4c-a19b,Station,Credit Card,,Standard,Anytime,70,2,5,,On Time,
d1e985a0-35b2-4edf-9653,Online,Contactless,,Standard,Anytime,13,4,7,,On Time,
eace2ada-5294-47e6-b4b8,Station,Credit Card,,First Class,Anytime,235,3,4,,Cancelled,
b1c674dc-435d-4485-b654,Station,Credit Card,,Standard,Anytime,151,3,4,,Cancelled,
6a6595e4-0d2c-490a-8cdc,Station,Credit Card,Adult,First Class,Advance,78,3,4,,On Time,
0713aec5-3bd8-4086-a92f,Station,Credit Card,,Standard,Anytime,151,3,4,,Cancelled,
e149328e-6ed5-4d7c-ab84,Online,Debit Card,,Standard,Anytime,143,4,6,,On Time,
40a90cc6-8d79-43d6-8929,Station,Credit Card,,Standard,Anytime,151,3,4,,Cancelled,
a3102fe0-5d21-4e37-b5ee,Online,Credit Card,,Standard,Anytime,16,8,7,,Cancelled,
1e528e8b-bc64-4e79-a1b7,Online,Contactless,,Standard,Anytime,34,9,12,,On Time,
63a8b7d1-22cb-4399-bb1d,Station,Credit Card,,Standard,Anytime,151,3,4,,Cancelled,
f5077bd8-c17b-4105-94d5,Station,Credit Card,Adult,Standard,Advance,50,3,4,,On Time,
5c4f45c6-12fd-44b0-8f71,Online,Credit Card,Adult,Standard,Anytime,11,8,7,,On Time,
44dcf701-65e1-41ac-84c0,Online,Credit Card,,Standard,Anytime,13,4,7,,On Time,
8bbc9704-218e-4baf-93c5,Online,Credit Card,Adult,Standard,Anytime,3,6,3,,On Time,
38c6bacb-6178-4662-a775,Station,Credit Card,,First Class,Advance,10,6,3,,On Time,
b3573007-19e4-4e38-9a51,Online,Credit Card,,Standard,Anytime,35,1,9,,On Time,
414e9fd0-9e4a-4fa1-8711,Online,Contactless,,Standard,Anytime,25,1,10,,On Time,
48b383a5-3a8c-4851-85c1,Online,Credit Card,,Standard,Anytime,25,1,10,,On Time,
18f0890f-ae83-4b11-a3b6,Station,Credit Card,,Standard,Advance,7,4,7,,On Time,
aad2da3a-222b-43e7-83a9,Station,Contactless,,Standard,Anytime,5,6,3,,On Time,
e9f785bf-ee3d-44db-b2e1,Online,Credit Card,,Standard,Anytime,35,1,9,,On Time,
48f19194-1ea5-403c-9c0a,Online,Credit Card,,Standard,Anytime,70,2,5,,On Time,
1044df92-a0fd-4a75-bb01,Online,Credit Card,Disabled,Standard,Advance,2,3,6,,On Time,
dd9f24a6-c77c-4558-a041,Online,Credit Card,,Standard,Anytime,25,1,10,,On Time,
abbbe382-faca-4289-b9b7,Station,Contactless,Adult,Standard,Off-Peak,12,6,22,,Delayed,
32cabb23-6a69-44e5-a418,Station,Contactless,Adult,Standard,Off-Peak,10,6,18,,Delayed,
d4c3baad-ee24-41f4-8d41,Online,Credit Card,,First Class,Off-Peak,86,2,5,,On Time,
62b88907-0ae1-4654-a62a,Online,Contactless,,Standard,Advance,3,6,3,,On Time,
08af5c73-f438-46e2-b401,Online,Debit Card,Senior,Standard,Off-Peak,35,2,5,,On Time,
dbc35238-0f8a-40f0-b62b,Online,Contactless,,Standard,Advance,3,6,3,,On Time,
6813fc61-5ad1-4c64-b7c1,Online,Contactless,,Standard,Off-Peak,4,6,3,,On Time,
abcbca79-681d-4c5e-8867,Online,Credit Card,Senior,Standard,Advance,2,6,3,,Cancelled,
e40c6c02-317d-47c4-8aa9,Online,Contactless,Adult,Standard,Off-Peak,3,6,3,,On Time,
c0eace8f-2e1d-4c07-8021,Online,Credit Card,,Standard,Advance,3,6,3,,On Time,
cf96a262-65bb-4636-9f8e,Online,Credit Card,Disabled,Standard,Advance,4,5,20,,On Time,
57d4ae3a-5ada-4247-8b29,Online,Credit Card,Disabled,Standard,Advance,15,7,8,,On Time,
2938ca8c-fb70-489c-88fa,Station,Credit Card,,Standard,Advance,8,8,7,,On Time,
72216639-8cbb-494d-ab4e,Station,Credit Card,,Standard,Advance,8,8,7,,On Time,
1c184862-4155-410f-b111,Online,Credit Card,,Standard,Advance,18,1,9,,On Time,
b2bf9180-176a-466c-8661,Station,Contactless,Adult,Standard,Off-Peak,35,2,5,,Cancelled,
1ae8686f-5468-4caa-b9b8,Online,Credit Card,,Standard,Advance,13,1,10,,On Time,
46a67e6e-4006-4df6-9499,Station,Contactless,Adult,Standard,Advance,23,2,5,,On Time,
1b865f74-c857-40de-8bb3,Station,Credit Card,,Standard,Advance,35,2,5,,On Time,
08043a64-07cf-4f17-bf18,Online,Credit Card,,First Class,Advance,32,1,9,,On Time,
bcd1f9fe-c858-466a-b316,Station,Contactless,Adult,Standard,Off-Peak,35,2,5,,Cancelled,
1bcad4d1-a4f1-48ce-856d,Online,Contactless,Adult,Standard,Advance,2,6,3,,On Time,
d95c048b-47cd-4597-b2e4,Online,Credit Card,,Standard,Advance,34,5,23,,On Time,
f6f18022-b9fa-40cb-8f88,Station,Contactless,,Standard,Off-Peak,53,2,5,,On Time,
be481e94-bf95-4630-a9fc,Station,Contactless,,Standard,Advance,3,3,6,,On Time,
7a185b26-a5b5-47f2-868d,Online,Credit Card,,Standard,Advance,9,10,21,,On Time,
8f923665-1aa2-48d0-b670,Online,Credit Card,,Standard,Advance,3,3,6,,On Time,
5b31ef7c-3fec-4334-bb6f,Online,Credit Card,,Standard,Advance,9,10,21,,On Time,
25f3a4a2-a167-4532-87fe,Station,Credit Card,,Standard,Off-Peak,5,3,6,,On Time,
8cf9cded-25a7-4bdb-a489,Station,Credit Card,,Standard,Advance,35,2,5,,On Time,
25d72d1a-f4ff-4277-88df,Station,Credit Card,,First Class,Advance,108,4,6,,On Time,
ba9e6ec7-6c30-402d-9793,Station,Credit Card,,Standard,Advance,76,3,4,,Delayed,
100e0c8f-029e-43ad-9e66,Station,Credit Card,,Standard,Advance,76,3,4,,Delayed,
ef586c9b-fa89-47ac-ade6,Station,Credit Card,,Standard,Advance,76,3,4,,Delayed,
3682ea88-833e-4a99-bd80,Station,Contactless,,Standard,Off-Peak,53,2,5,,On Time,
03c979c8-bc1b-45a4-9cae,Online,Contactless,,Standard,Off-Peak,12,8,7,,On Time,
fefff4cd-0f11-4924-a2ca,Online,Credit Card,,Standard,Advance,72,4,6,,On Time,
8ffbc995-f676-4fb1-a5bc,Station,Credit Card,,Standard,Off-Peak,4,6,3,,On Time,
3ca22840-45b6-40d0-9778,Station,Credit Card,Disabled,Standard,Advance,4,4,7,,Cancelled,
bc4359df-f9cd-4564-8a3c,Station,Credit Card,Senior,Standard,Advance,4,4,7,,On Time,
8daa9049-1401-4ec4-bfbd,Online,Contactless,,Standard,Advance,13,1,10,,On Time,
9f41ca1d-fbc7-4a9d-b00a,Station,Contactless,Adult,Standard,Advance,6,6,18,,Delayed,
be9f36ee-64a2-4f41-9ac0,Online,Credit Card,Adult,Standard,Advance,2,3,6,,On Time,
9886f5b6-f820-4163-8efe,Online,Contactless,,Standard,Off-Peak,12,8,7,,On Time,
134b5645-cc2e-40cf-9f46,Online,Contactless,,Standard,Advance,13,1,10,,On Time,
0e2e0c57-57b0-4a28-bd5e,Online,Credit Card,,First Class,Advance,106,2,3,,On Time,
be826c41-d24e-4086-8550,Station,Debit Card,Adult,Standard,Off-Peak,3,3,6,,Delayed,
d2db47e8-24d9-42f2-837d,Online,Credit Card,,Standard,Advance,65,2,3,,On Time,
223cb664-d5a3-46eb-98b0,Station,Contactless,,Standard,Advance,35,2,5,,On Time,
3e50606b-76bf-4c7f-bdfa,Online,Contactless,,Standard,Advance,7,4,7,,On Time,
6318a62c-f665-4d46-a2e1,Online,Credit Card,,Standard,Off-Peak,19,1,10,,On Time,
54aa5474-a382-49f9-bd3f,Station,Credit Card,Adult,Standard,Off-Peak,24,5,24,,On Time,
472e87a7-2b8c-411c-bd0e,Station,Contactless,,Standard,Off-Peak,10,4,7,,On Time,
4aa48622-9ce5-4a77-b891,Station,Credit Card,,Standard,Off-Peak,19,10,1,,Cancelled,
cc9f814b-2c27-406d-909b,Station,Contactless,,Standard,Advance,35,2,5,,On Time,
313b3ab4-17a0-4d9f-a83b,Station,Contactless,Senior,Standard,Off-Peak,3,6,3,,On Time,
d551d829-2581-4478-8b34,Station,Contactless,,Standard,Advance,3,6,3,,Delayed,
de18c2c6-8589-4291-b598,Online,Contactless,,Standard,Advance,8,8,7,,On Time,
9f782db9-1647-4e9f-988b,Online,Contactless,,Standard,Advance,35,2,5,,On Time,
fe40ae09-8fc0-49cb-89e3,Online,Contactless,,First Class,Off-Peak,14,6,3,,On Time,
a2a08f51-0a50-4152-a724,Station,Credit Card,Adult,Standard,Off-Peak,35,2,5,,On Time,
56c1a62e-8e4c-45e7-b06f,Station,Credit Card,Disabled,Standard,Off-Peak,35,2,5,,On Time,
5850abf1-1705-4e60-b5a5,Online,Credit Card,,First Class,Advance,52,4,7,,On Time,
ed16c60a-558a-4c24-a171,Online,Credit Card,,Standard,Advance,35,2,5,,On Time,
db731db6-c5cb-46c1-aeba,Online,Contactless,,Standard,Advance,8,8,7,,On Time,
0af4d6c9-5f71-41c2-a95e,Station,Credit Card,,Standard,Off-Peak,19,1,10,,On Time,
47b8c742-0f53-4ea6-86e4,Station,Credit Card,,Standard,Off-Peak,19,1,10,,On Time,
88ab44a1-60fb-41a0-a281,Online,Credit Card,Adult,Standard,Off-Peak,8,8,7,,On Time,
ad841279-67b4-478f-82b0,Online,Contactless,,Standard,Off-Peak,19,1,10,,On Time,
2a63237d-ef3a-4de5-8329,Station,Contactless,,Standard,Advance,7,4,7,,On Time,
b3404a89-184f-4004-a87a,Station,Credit Card,,Standard,Off-Peak,35,5,24,,On Time,
fc2b6b34-a474-49a2-9d32,Online,Credit Card,Disabled,Standard,Advance,8,1,10,,Cancelled,
f4d14ed3-753c-46cb-81b4,Station,Contactless,,Standard,Advance,7,4,7,,On Time,
ecda84cd-74a7-4fda-af1d,Online,Credit Card,Disabled,Standard,Off-Peak,7,4,7,,On Time,
c61083f7-8f97-411a-ae32,Station,Credit Card,,Standard,Anytime,67,5,23,,On Time,
3536656e-691c-4537-85ee,Online,Contactless,,Standard,Anytime,13,4,7,,Cancelled,
87ef37fc-ab43-4c69-b28a,Station,Credit Card,Adult,Standard,Anytime,9,4,7,,Cancelled,
d9514854-125b-4210-8227,Station,Credit Card,,Standard,Anytime,6,3,6,,On Time,
fa90e6b4-b1fa-4d81-ad9e,Station,Debit Card,Disabled,Standard,Anytime,11,8,7,,On Time,
9cf26300-61d7-4b51-bd89,Station,Debit Card,Disabled,Standard,Anytime,9,4,7,,Cancelled,
d290402d-f3bb-4abb-a8fc,Station,Debit Card,Disabled,Standard,Anytime,9,4,7,,Cancelled,
f2b8a32c-456f-4343-a02c,Station,Debit Card,Disabled,Standard,Anytime,11,8,7,,On Time,
484035d6-b32e-45b2-a6e5,Online,Credit Card,,Standard,Anytime,70,2,5,,On Time,
1c3b889c-b8eb-4220-b664,Online,Contactless,Adult,First Class,Anytime,13,6,3,,On Time,
614b49c1-3d82-4ca3-8df2,Online,Credit Card,Adult,Standard,Advance,2,3,6,,On Time,
6ef66550-385a-4a2e-a5e5,Online,Credit Card,Adult,Standard,Advance,2,3,6,,On Time,
3ec4b7d1-229c-4c75-b8c6,Station,Contactless,,Standard,Anytime,70,2,5,,On Time,
e4270778-5032-4b86-92b4,Online,Contactless,,Standard,Advance,86,6,1,,On Time,
16351a6d-d368-4d13-9af0,Online,Credit Card,,Standard,Anytime,18,10,21,,On Time,
e1aa9258-5ff1-4a64-80ad,Station,Credit Card,,Standard,Anytime,10,7,19,,On Time,
6e92048e-c1e1-4a05-8310,Online,Credit Card,,Standard,Anytime,70,2,5,,On Time,
43e55600-4221-4ef7-8afe,Station,Contactless,,Standard,Anytime,6,3,6,,On Time,
06f1b583-3b88-4fad-be2e,Station,Credit Card,,Standard,Anytime,5,6,3,,On Time,
f3bac7b0-791c-411b-b723,Station,Credit Card,,First Class,Anytime,19,6,3,,On Time,
33b6cd3a-e800-4050-a446,Station,Debit Card,,Standard,Advance,76,3,4,,Delayed,
1fcf0065-5b9a-47e6-bd0c,Station,Credit Card,,Standard,Anytime,5,6,3,,On Time,
c782c25a-a91e-40fd-8bde,Online,Credit Card,Senior,Standard,Advance,2,6,3,,On Time,
c2ff6564-392d-4730-b252,Online,Credit Card,Senior,Standard,Advance,2,6,3,,On Time,
8386035e-0262-4c92-a7a8,Station,Credit Card,,Standard,Advance,24,5,24,,On Time,
7623e1a6-7766-4511-9f99,Online,Contactless,,Standard,Advance,35,2,5,,On Time,
72b0ce3a-f53b-408e-aa05,Online,Contactless,Senior,Standard,Advance,8,1,10,,On Time,
446d76dc-f015-46df-8540,Online,Credit Card,Disabled,Standard,Advance,4,4,7,,Cancelled,
3e2eeaa7-7030-45d2-b2a4,Station,Contactless,,Standard,Advance,13,10,1,,On Time,
075ed9a5-8efd-4f77-8f26,Station,Credit Card,,Standard,Advance,13,10,1,,On Time,
4f520c2d-76e6-4e0b-b222,Online,Credit Card,Disabled,Standard,Advance,4,4,7,,Cancelled,
4082e532-1e8d-47a4-99b8,Online,Credit Card,,Standard,Anytime,16,8,7,,On Time,
