Journey ID,Journey_Date,Departure Time,Arrival Time,Actual Arrival Time,Reason for Delay,key
80,1/2/2024,1:45:00,3:35:00,3:35:00,no delay,2024-01-02 01:45:00 03:35:00 03:35:00 no delay
81,1/2/2024,2:00:00,3:00:00,3:00:00,no delay,2024-01-02 02:00:00 03:00:00 03:00:00 no delay
82,1/2/2024,2:15:00,3:35:00,3:00:00,Technical Issue,2024-01-02 02:15:00 03:35:00 03:00:00 Technical Issue
83,1/3/2024,23:30:00,0:00:00,0:00:00,no delay,2024-01-03 23:30:00 00:00:00 00:00:00 no delay
84,1/2/2024,2:30:00,3:00:00,3:00:00,no delay,2024-01-02 02:30:00 03:00:00 03:00:00 no delay
85,1/3/2024,23:45:00,1:35:00,1:35:00,no delay,2024-01-03 23:45:00 01:35:00 01:35:00 no delay
86,1/3/2024,23:45:00,0:35:00,0:35:00,no delay,2024-01-03 23:45:00 00:35:00 00:35:00 no delay
87,1/2/2024,2:45:00,3:15:00,3:15:00,no delay,2024-01-02 02:45:00 03:15:00 03:15:00 no delay
88,1/3/2024,0:00:00,0:30:00,0:30:00,no delay,2024-01-03 00:00:00 00:30:00 00:30:00 no delay
89,1/3/2024,0:15:00,0:45:00,0:45:00,no delay,2024-01-03 00:15:00 00:45:00 00:45:00 no delay
90,1/2/2024,3:15:00,4:15:00,4:15:00,no delay,2024-01-02 03:15:00 04:15:00 04:15:00 no delay
91,1/3/2024,1:30:00,2:00:00,2:00:00,no delay,2024-01-03 01:30:00 02:00:00 02:00:00 no delay
92,1/3/2024,1:30:00,2:50:00,2:50:00,no delay,2024-01-03 01:30:00 02:50:00 02:50:00 no delay
93,1/2/2024,4:30:00,5:50:00,5:50:00,no delay,2024-01-02 04:30:00 05:50:00 05:50:00 no delay
94,1/3/2024,1:45:00,4:00:00,4:00:00,no delay,2024-01-03 01:45:00 04:00:00 04:00:00 no delay
95,1/3/2024,1:45:00,3:35:00,3:35:00,no delay,2024-01-03 01:45:00 03:35:00 03:35:00 no delay
96,1/3/2024,1:45:00,3:15:00,3:15:00,no delay,2024-01-03 01:45:00 03:15:00 03:15:00 no delay
97,1/3/2024,2:00:00,2:30:00,2:30:00,no delay,2024-01-03 02:00:00 02:30:00 02:30:00 no delay
98,1/3/2024,2:00:00,3:00:00,3:00:00,no delay,2024-01-03 02:00:00 03:00:00 03:00:00 no delay
99,1/2/2024,5:00:00,6:20:00,3:00:00,Staffing,2024-01-02 05:00:00 06:20:00 03:00:00 Staffing
100,1/3/2024,2:00:00,3:50:00,3:50:00,no delay,2024-01-03 02:00:00 03:50:00 03:50:00 no delay
101,1/2/2024,5:15:00,6:35:00,6:35:00,no delay,2024-01-02 05:15:00 06:35:00 06:35:00 no delay
102,1/2/2024,5:45:00,6:15:00,6:15:00,no delay,2024-01-02 05:45:00 06:15:00 06:15:00 no delay
103,1/2/2024,5:45:00,7:05:00,7:05:00,no delay,2024-01-02 05:45:00 07:05:00 07:05:00 no delay
104,1/3/2024,3:00:00,3:30:00,3:30:00,no delay,2024-01-03 03:00:00 03:30:00 03:30:00 no delay
105,1/2/2024,6:00:00,6:30:00,6:30:00,no delay,2024-01-02 06:00:00 06:30:00 06:30:00 no delay
106,1/2/2024,6:15:00,8:05:00,8:35:00,Technical Issue,2024-01-02 06:15:00 08:05:00 08:35:00 Technical Issue
107,1/3/2024,3:15:00,4:15:00,4:15:00,no delay,2024-01-03 03:15:00 04:15:00 04:15:00 no delay
108,1/2/2024,6:15:00,7:15:00,7:15:00,no delay,2024-01-02 06:15:00 07:15:00 07:15:00 no delay
109,1/2/2024,6:15:00,6:45:00,6:45:00,no delay,2024-01-02 06:15:00 06:45:00 06:45:00 no delay
110,1/2/2024,6:30:00,7:00:00,7:00:00,no delay,2024-01-02 06:30:00 07:00:00 07:00:00 no delay
111,1/3/2024,3:30:00,5:20:00,5:38:00,Weather Conditions,2024-01-03 03:30:00 05:20:00 05:38:00 Weather Conditions
112,1/2/2024,6:30:00,8:20:00,8:20:00,no delay,2024-01-02 06:30:00 08:20:00 08:20:00 no delay
113,1/2/2024,6:45:00,7:15:00,7:15:00,no delay,2024-01-02 06:45:00 07:15:00 07:15:00 no delay
114,1/3/2024,4:00:00,5:50:00,5:50:00,no delay,2024-01-03 04:00:00 05:50:00 05:50:00 no delay
115,1/2/2024,7:15:00,8:35:00,8:35:00,no delay,2024-01-02 07:15:00 08:35:00 08:35:00 no delay
116,1/2/2024,7:30:00,8:50:00,8:50:00,no delay,2024-01-02 07:30:00 08:50:00 08:50:00 no delay
117,1/2/2024,7:30:00,9:20:00,9:20:00,no delay,2024-01-02 07:30:00 09:20:00 09:20:00 no delay
118,1/2/2024,7:30:00,8:00:00,8:00:00,no delay,2024-01-02 07:30:00 08:00:00 08:00:00 no delay
119,1/3/2024,4:30:00,5:50:00,5:50:00,no delay,2024-01-03 04:30:00 05:50:00 05:50:00 no delay
120,1/2/2024,7:30:00,8:15:00,8:15:00,no delay,2024-01-02 07:30:00 08:15:00 08:15:00 no delay
121,1/2/2024,7:45:00,9:35:00,9:35:00,no delay,2024-01-02 07:45:00 09:35:00 09:35:00 no delay
122,1/2/2024,8:00:00,9:20:00,9:20:00,no delay,2024-01-02 08:00:00 09:20:00 09:20:00 no delay
123,1/2/2024,8:00:00,10:15:00,3:00:00,Staff Shortage,2024-01-02 08:00:00 10:15:00 03:00:00 Staff Shortage
124,1/3/2024,5:00:00,7:15:00,7:15:00,no delay,2024-01-03 05:00:00 07:15:00 07:15:00 no delay
125,1/2/2024,8:00:00,9:50:00,9:50:00,no delay,2024-01-02 08:00:00 09:50:00 09:50:00 no delay
126,1/2/2024,8:00:00,9:20:00,3:00:00,Signal Failure,2024-01-02 08:00:00 09:20:00 03:00:00 Signal Failure
127,1/2/2024,8:00:00,9:15:00,9:15:00,no delay,2024-01-02 08:00:00 09:15:00 09:15:00 no delay
128,1/2/2024,8:15:00,9:35:00,9:35:00,no delay,2024-01-02 08:15:00 09:35:00 09:35:00 no delay
129,1/2/2024,8:30:00,9:00:00,9:00:00,no delay,2024-01-02 08:30:00 09:00:00 09:00:00 no delay
130,1/3/2024,5:30:00,6:00:00,6:00:00,no delay,2024-01-03 05:30:00 06:00:00 06:00:00 no delay
131,1/2/2024,7:45:00,9:15:00,9:15:00,no delay,2024-01-02 07:45:00 09:15:00 09:15:00 no delay
132,1/2/2024,8:45:00,9:45:00,9:45:00,no delay,2024-01-02 08:45:00 09:45:00 09:45:00 no delay
133,1/2/2024,7:45:00,8:45:00,8:45:00,no delay,2024-01-02 07:45:00 08:45:00 08:45:00 no delay
134,1/3/2024,5:45:00,7:05:00,7:05:00,no delay,2024-01-03 05:45:00 07:05:00 07:05:00 no delay
135,1/2/2024,8:45:00,9:15:00,9:15:00,no delay,2024-01-02 08:45:00 09:15:00 09:15:00 no delay
136,1/3/2024,5:45:00,6:15:00,6:15:00,no delay,2024-01-03 05:45:00 06:15:00 06:15:00 no delay
137,1/2/2024,9:00:00,10:00:00,10:59:00,Signal Failure,2024-01-02 09:00:00 10:00:00 10:59:00 Signal Failure
138,1/2/2024,9:00:00,9:45:00,12:39:00,Signal Failure,2024-01-02 09:00:00 09:45:00 12:39:00 Signal Failure
139,1/2/2024,9:00:00,10:50:00,10:50:00,no delay,2024-01-02 09:00:00 10:50:00 10:50:00 no delay
140,1/3/2024,6:00:00,6:30:00,6:30:00,no delay,2024-01-03 06:00:00 06:30:00 06:30:00 no delay
141,1/2/2024,9:00:00,9:30:00,9:30:00,no delay,2024-01-02 09:00:00 09:30:00 09:30:00 no delay
142,1/3/2024,6:15:00,6:45:00,3:00:00,Signal Failure,2024-01-03 06:15:00 06:45:00 03:00:00 Signal Failure
143,1/2/2024,9:15:00,9:45:00,9:45:00,no delay,2024-01-02 09:15:00 09:45:00 09:45:00 no delay
144,1/3/2024,7:15:00,7:45:00,7:45:00,no delay,2024-01-03 07:15:00 07:45:00 07:45:00 no delay
145,1/3/2024,6:30:00,7:00:00,7:00:00,no delay,2024-01-03 06:30:00 07:00:00 07:00:00 no delay
146,1/3/2024,6:30:00,7:50:00,7:50:00,no delay,2024-01-03 06:30:00 07:50:00 07:50:00 no delay
147,1/3/2024,7:45:00,9:15:00,9:15:00,no delay,2024-01-03 07:45:00 09:15:00 09:15:00 no delay
148,1/2/2024,9:45:00,11:35:00,3:00:00,Staff Shortage,2024-01-02 09:45:00 11:35:00 03:00:00 Staff Shortage
149,1/3/2024,7:45:00,8:45:00,8:45:00,no delay,2024-01-03 07:45:00 08:45:00 08:45:00 no delay
150,1/3/2024,6:45:00,8:35:00,8:35:00,no delay,2024-01-03 06:45:00 08:35:00 08:35:00 no delay
151,1/3/2024,7:30:00,8:40:00,8:40:00,no delay,2024-01-03 07:30:00 08:40:00 08:40:00 no delay
152,1/2/2024,10:30:00,12:20:00,12:20:00,no delay,2024-01-02 10:30:00 12:20:00 12:20:00 no delay
153,1/3/2024,7:30:00,8:00:00,8:00:00,no delay,2024-01-03 07:30:00 08:00:00 08:00:00 no delay
154,1/3/2024,7:30:00,8:15:00,8:15:00,no delay,2024-01-03 07:30:00 08:15:00 08:15:00 no delay
155,1/2/2024,10:45:00,11:15:00,11:15:00,no delay,2024-01-02 10:45:00 11:15:00 11:15:00 no delay
156,1/3/2024,7:45:00,9:35:00,9:35:00,no delay,2024-01-03 07:45:00 09:35:00 09:35:00 no delay
157,1/3/2024,8:00:00,9:50:00,9:50:00,no delay,2024-01-03 08:00:00 09:50:00 09:50:00 no delay
158,1/3/2024,8:00:00,10:15:00,11:09:00,Weather,2024-01-03 08:00:00 10:15:00 11:09:00 Weather
159,1/2/2024,11:00:00,12:50:00,12:50:00,no delay,2024-01-02 11:00:00 12:50:00 12:50:00 no delay
160,1/2/2024,11:00:00,12:20:00,12:20:00,no delay,2024-01-02 11:00:00 12:20:00 12:20:00 no delay
161,1/2/2024,11:15:00,11:45:00,11:45:00,no delay,2024-01-02 11:15:00 11:45:00 11:45:00 no delay
162,1/3/2024,8:15:00,9:35:00,3:00:00,Signal Failure,2024-01-03 08:15:00 09:35:00 03:00:00 Signal Failure
163,1/3/2024,9:45:00,11:05:00,11:05:00,no delay,2024-01-03 09:45:00 11:05:00 11:05:00 no delay
164,1/3/2024,8:45:00,9:45:00,9:45:00,no delay,2024-01-03 08:45:00 09:45:00 09:45:00 no delay
165,1/3/2024,9:00:00,9:45:00,10:22:00,Signal Failure,2024-01-03 09:00:00 09:45:00 10:22:00 Signal Failure
166,1/3/2024,9:00:00,9:30:00,9:30:00,no delay,2024-01-03 09:00:00 09:30:00 09:30:00 no delay
167,1/2/2024,12:00:00,13:20:00,13:20:00,no delay,2024-01-02 12:00:00 13:20:00 13:20:00 no delay
168,1/3/2024,9:00:00,10:00:00,10:00:00,no delay,2024-01-03 09:00:00 10:00:00 10:00:00 no delay
169,1/3/2024,9:15:00,11:30:00,11:30:00,no delay,2024-01-03 09:15:00 11:30:00 11:30:00 no delay
170,1/2/2024,11:15:00,11:45:00,12:17:00,Technical Issue,2024-01-02 11:15:00 11:45:00 12:17:00 Technical Issue
171,1/3/2024,9:30:00,11:20:00,11:20:00,no delay,2024-01-03 09:30:00 11:20:00 11:20:00 no delay
172,1/3/2024,9:30:00,10:50:00,10:50:00,no delay,2024-01-03 09:30:00 10:50:00 10:50:00 no delay
173,1/2/2024,12:45:00,13:45:00,13:45:00,no delay,2024-01-02 12:45:00 13:45:00 13:45:00 no delay
174,1/2/2024,12:45:00,15:15:00,15:15:00,no delay,2024-01-02 12:45:00 15:15:00 15:15:00 no delay
175,1/2/2024,12:45:00,14:05:00,14:05:00,no delay,2024-01-02 12:45:00 14:05:00 14:05:00 no delay
176,1/2/2024,13:30:00,13:55:00,3:00:00,Staffing,2024-01-02 13:30:00 13:55:00 03:00:00 Staffing
177,1/3/2024,10:30:00,12:20:00,12:20:00,no delay,2024-01-03 10:30:00 12:20:00 12:20:00 no delay
178,1/2/2024,13:30:00,14:00:00,14:00:00,no delay,2024-01-02 13:30:00 14:00:00 14:00:00 no delay
179,1/3/2024,11:00:00,11:30:00,14:24:00,Staff Shortage,2024-01-03 11:00:00 11:30:00 14:24:00 Staff Shortage
180,1/3/2024,11:00:00,12:20:00,12:20:00,no delay,2024-01-03 11:00:00 12:20:00 12:20:00 no delay
181,1/3/2024,11:00:00,12:50:00,12:50:00,no delay,2024-01-03 11:00:00 12:50:00 12:50:00 no delay
182,1/2/2024,14:30:00,15:00:00,15:00:00,no delay,2024-01-02 14:30:00 15:00:00 15:00:00 no delay
183,1/2/2024,14:30:00,16:20:00,16:20:00,no delay,2024-01-02 14:30:00 16:20:00 16:20:00 no delay
184,1/3/2024,11:45:00,13:05:00,13:05:00,no delay,2024-01-03 11:45:00 13:05:00 13:05:00 no delay
185,1/3/2024,11:45:00,13:35:00,13:35:00,no delay,2024-01-03 11:45:00 13:35:00 13:35:00 no delay
186,1/3/2024,12:00:00,13:20:00,13:20:00,no delay,2024-01-03 12:00:00 13:20:00 13:20:00 no delay
187,1/2/2024,15:00:00,16:00:00,16:00:00,no delay,2024-01-02 15:00:00 16:00:00 16:00:00 no delay
188,1/2/2024,15:15:00,16:35:00,16:35:00,no delay,2024-01-02 15:15:00 16:35:00 16:35:00 no delay
189,1/2/2024,15:30:00,16:30:00,16:30:00,no delay,2024-01-02 15:30:00 16:30:00 16:30:00 no delay
190,1/3/2024,12:45:00,14:05:00,14:05:00,no delay,2024-01-03 12:45:00 14:05:00 14:05:00 no delay
191,1/2/2024,15:45:00,18:15:00,18:15:00,no delay,2024-01-02 15:45:00 18:15:00 18:15:00 no delay
192,1/3/2024,12:45:00,13:45:00,3:00:00,Technical Issue,2024-01-03 12:45:00 13:45:00 03:00:00 Technical Issue
193,1/2/2024,15:45:00,17:05:00,17:05:00,no delay,2024-01-02 15:45:00 17:05:00 17:05:00 no delay
194,1/2/2024,16:00:00,17:10:00,17:10:00,no delay,2024-01-02 16:00:00 17:10:00 17:10:00 no delay
195,1/2/2024,16:00:00,17:20:00,3:00:00,Technical Issue,2024-01-02 16:00:00 17:20:00 03:00:00 Technical Issue
196,1/2/2024,16:00:00,16:30:00,16:30:00,no delay,2024-01-02 16:00:00 16:30:00 16:30:00 no delay
197,1/2/2024,16:00:00,17:20:00,17:20:00,no delay,2024-01-02 16:00:00 17:20:00 17:20:00 no delay
198,1/2/2024,16:15:00,18:05:00,18:05:00,no delay,2024-01-02 16:15:00 18:05:00 18:05:00 no delay
199,1/2/2024,16:15:00,16:45:00,16:45:00,no delay,2024-01-02 16:15:00 16:45:00 16:45:00 no delay
200,1/3/2024,13:15:00,13:45:00,13:45:00,no delay,2024-01-03 13:15:00 13:45:00 13:45:00 no delay
201,1/3/2024,13:45:00,16:00:00,16:00:00,no delay,2024-01-03 13:45:00 16:00:00 16:00:00 no delay
202,1/2/2024,17:45:00,18:30:00,18:30:00,no delay,2024-01-02 17:45:00 18:30:00 18:30:00 no delay
203,1/2/2024,17:45:00,18:15:00,18:15:00,no delay,2024-01-02 17:45:00 18:15:00 18:15:00 no delay
204,1/2/2024,17:15:00,19:05:00,19:05:00,no delay,2024-01-02 17:15:00 19:05:00 19:05:00 no delay
205,1/2/2024,17:15:00,17:45:00,17:45:00,no delay,2024-01-02 17:15:00 17:45:00 17:45:00 no delay
206,1/3/2024,15:30:00,17:45:00,18:14:00,Staffing,2024-01-03 15:30:00 17:45:00 18:14:00 Staffing
207,1/3/2024,14:45:00,15:15:00,15:15:00,no delay,2024-01-03 14:45:00 15:15:00 15:15:00 no delay
208,1/3/2024,14:45:00,17:15:00,17:15:00,no delay,2024-01-03 14:45:00 17:15:00 17:15:00 no delay
209,1/3/2024,15:00:00,16:50:00,16:50:00,no delay,2024-01-03 15:00:00 16:50:00 16:50:00 no delay
210,1/3/2024,15:00:00,16:00:00,16:00:00,no delay,2024-01-03 15:00:00 16:00:00 16:00:00 no delay
211,1/3/2024,15:30:00,16:50:00,16:50:00,Weather Conditions,2024-01-03 15:30:00 16:50:00 16:50:00 Weather Conditions
212,1/3/2024,15:30:00,15:55:00,15:55:00,no delay,2024-01-03 15:30:00 15:55:00 15:55:00 no delay
213,1/2/2024,18:45:00,19:15:00,19:15:00,no delay,2024-01-02 18:45:00 19:15:00 19:15:00 no delay
214,1/2/2024,18:45:00,19:05:00,19:05:00,no delay,2024-01-02 18:45:00 19:05:00 19:05:00 no delay
215,1/2/2024,18:45:00,20:15:00,20:15:00,no delay,2024-01-02 18:45:00 20:15:00 20:15:00 no delay
216,1/3/2024,15:45:00,16:45:00,16:45:00,no delay,2024-01-03 15:45:00 16:45:00 16:45:00 no delay
217,1/2/2024,18:45:00,20:35:00,20:35:00,no delay,2024-01-02 18:45:00 20:35:00 20:35:00 no delay
218,1/2/2024,18:45:00,19:20:00,19:20:00,no delay,2024-01-02 18:45:00 19:20:00 19:20:00 no delay
219,1/3/2024,16:00:00,17:00:00,17:00:00,no delay,2024-01-03 16:00:00 17:00:00 17:00:00 no delay
220,1/3/2024,16:00:00,17:20:00,17:20:00,no delay,2024-01-03 16:00:00 17:20:00 17:20:00 no delay
221,1/3/2024,16:00:00,16:30:00,16:30:00,no delay,2024-01-03 16:00:00 16:30:00 16:30:00 no delay
222,1/3/2024,16:00:00,17:50:00,17:50:00,no delay,2024-01-03 16:00:00 17:50:00 17:50:00 no delay
223,1/2/2024,19:00:00,20:20:00,20:20:00,no delay,2024-01-02 19:00:00 20:20:00 20:20:00 no delay
224,1/3/2024,16:15:00,18:05:00,18:05:00,no delay,2024-01-03 16:15:00 18:05:00 18:05:00 no delay
225,1/3/2024,16:15:00,17:35:00,17:35:00,no delay,2024-01-03 16:15:00 17:35:00 17:35:00 no delay
226,1/3/2024,16:30:00,18:00:00,18:00:00,no delay,2024-01-03 16:30:00 18:00:00 18:00:00 no delay
227,1/2/2024,19:30:00,21:20:00,21:20:00,no delay,2024-01-02 19:30:00 21:20:00 21:20:00 no delay
228,1/3/2024,16:30:00,18:45:00,18:45:00,no delay,2024-01-03 16:30:00 18:45:00 18:45:00 no delay
229,1/3/2024,17:30:00,19:45:00,20:10:00,Technical Issue,2024-01-03 17:30:00 19:45:00 20:10:00 Technical Issue
